case_id,source_soc,scale,topology_type,die_count,tower_count,target_count,recipe_count,pareto_recipe_count,lane_count,power_profile,method_id,method_family,status,error,makespan_s,normalized_makespan,speedup_vs_serial,peak_power_w,peak_temperature_c,peak_thermal_region,fpp_utilization,serial_busy_ratio,selected_recipe_types,thermal_violations,solver_status
m10_xlarge_p93791_3d_stack,p93791,xlarge,3d_stack,12,1,36,184,108,8,nominal,fixed_fastest,fixed_path,ok,,0.006419981124999999,0.03633569575477841,27.52114633358831,2.2621999999999995,25.00332157593242,thermal_die10,0.04140577788692486,0.9982521560762376,F:24;I:11;S:1,0,greedy
m10_xlarge_p93791_3d_stack,p93791,xlarge,3d_stack,12,1,36,184,108,8,nominal,fixed_low_power,fixed_path,ok,,0.006569021125000001,0.03717922971381201,26.896737982403707,2.8273,25.005929314675093,thermal_die11,0.0389983808280111,0.9804504929187602,B:4;F:20;I:11;S:1,0,greedy
m10_xlarge_p93791_3d_stack,p93791,xlarge,3d_stack,12,1,36,184,108,8,nominal,fixed_thermal_min,fixed_path,ok,,0.006569021125000001,0.03717922971381201,26.896737982403707,2.8273,25.005929314675093,thermal_die11,0.0389983808280111,0.9804504929187602,B:4;F:20;I:11;S:1,0,greedy
m10_xlarge_p93791_3d_stack,p93791,xlarge,3d_stack,12,1,36,184,108,8,nominal,tam_like,fixed_path,ok,,0.006419981124999999,0.03633569575477841,27.52114633358831,2.2621999999999995,25.00332157593242,thermal_die10,0.04140577788692486,0.9982521560762376,F:24;I:11;S:1,0,greedy
m10_xlarge_p93791_3d_stack,p93791,xlarge,3d_stack,12,1,36,184,108,8,nominal,joint_m4_greedy,joint,ok,,0.006419981124999999,0.03633569575477841,27.52114633358831,2.2621999999999995,25.00332157593242,thermal_die10,0.04140577788692486,0.9982521560762376,F:24;I:11;S:1,0,greedy
m10_xlarge_p93791_5_5d_multi_tower,p93791,xlarge,5_5d_multi_tower,12,6,36,184,108,8,nominal,pure_serial,baseline,ok,,0.17504524000000007,1.0,1.0,2.1799999999999997,25.136418138864432,thermal_die8,0.0,0.9998000516894943,I:11;S:25,0,greedy
m10_xlarge_p93791_5_5d_multi_tower,p93791,xlarge,5_5d_multi_tower,12,6,36,184,108,8,nominal,fixed_fastest,fixed_path,ok,,0.004816651812500001,0.027516611205766,36.341684392824284,2.2621999999999995,25.001880806605758,thermal_die8,0.055188608778019274,0.9900570324855713,F:24;I:11;S:1,0,greedy
m10_xlarge_p93791_5_5d_multi_tower,p93791,xlarge,5_5d_multi_tower,12,6,36,184,108,8,nominal,fixed_low_power,fixed_path,ok,,0.005102280000000002,0.029148350449289564,34.30725871571141,3.7028,25.00528939302254,thermal_die5,0.05020915894462868,0.9378630729791384,B:4;F:20;I:11;S:1,0,greedy
m10_xlarge_p93791_5_5d_multi_tower,p93791,xlarge,5_5d_multi_tower,12,6,36,184,108,8,nominal,fixed_thermal_min,fixed_path,ok,,0.005102280000000002,0.029148350449289564,34.30725871571141,3.7028,25.00528939302254,thermal_die5,0.05020915894462868,0.9378630729791384,B:4;F:20;I:11;S:1,0,greedy
m10_xlarge_p93791_5_5d_multi_tower,p93791,xlarge,5_5d_multi_tower,12,6,36,184,108,8,nominal,tam_like,fixed_path,ok,,0.004816651812500001,0.027516611205766,36.341684392824284,2.2621999999999995,25.001880806605758,thermal_die8,0.055188608778019274,0.9900570324855713,F:24;I:11;S:1,0,greedy
m10_xlarge_p93791_5_5d_multi_tower,p93791,xlarge,5_5d_multi_tower,12,6,36,184,108,8,nominal,joint_m4_greedy,joint,ok,,0.004816651812500001,0.027516611205766,36.341684392824284,2.2621999999999995,25.001880806605758,thermal_die8,0.055188608778019274,0.9900570324855713,F:24;I:11;S:1,0,greedy
